CustomerID,Recency,Frequency,Monetary,Monetary_log,Frequency_log,Cluster
12346,326,1,77183.6,11.253955234248428,0.6931471805599453,1
12347,2,7,4310.0,8.368925174747135,2.0794415416798357,1
12348,75,4,1797.24,7.494563687769957,1.6094379124341003,1
12349,19,1,1757.55,7.472244884833674,0.6931471805599453,0
12350,310,1,334.4,5.815323849389109,0.6931471805599453,2
12352,36,8,2506.04,7.826858053356098,2.1972245773362196,1
12353,204,1,89.0,4.499809670330265,0.6931471805599453,2
12354,232,1,1079.4,6.985086621918461,0.6931471805599453,2
12355,214,1,459.4,6.132095676847728,0.6931471805599453,2
12356,23,3,2811.43,7.941804157314053,1.3862943611198906,1
12357,33,1,6207.67,8.733701981297274,0.6931471805599453,0
12358,2,2,1168.06,7.063955286074528,1.0986122886681098,0
12359,58,4,6372.58,8.759916600117213,1.6094379124341003,1
12360,52,3,2662.06,7.887231116540211,1.3862943611198906,1
12361,287,1,189.9,5.251749730731702,0.6931471805599453,2
12362,3,10,5226.23,8.56163678004062,2.3978952727983707,1
12363,110,2,552.0,6.315358001522335,1.0986122886681098,0
12364,8,4,1313.1,7.180907299649593,1.6094379124341003,1
12365,291,2,641.38,6.465180028897591,1.0986122886681098,2
12367,4,1,168.9,5.135210028677887,0.6931471805599453,0
12370,51,4,3545.69,8.173770053153254,1.6094379124341003,1
12371,45,2,1887.96,7.543781692052325,1.0986122886681098,0
12372,72,3,1298.04,7.169380809114136,1.3862943611198906,0
12373,311,1,364.6,5.901539839579995,0.6931471805599453,2
12374,25,1,742.9300000000001,6.6119469443852195,0.6931471805599453,0
12375,11,2,457.5,6.127960291696519,1.0986122886681098,0
12377,315,2,1628.12,7.395795270713971,1.0986122886681098,2
12378,130,1,4008.62,8.29645175271804,0.6931471805599453,0
12379,82,2,852.24,6.749040867823617,1.0986122886681098,0
12380,22,4,2724.81,7.910520910634419,1.6094379124341003,1
12381,5,5,1845.31,7.520944331624911,1.791759469228055,1
12383,185,5,1850.56,7.523783805985769,1.791759469228055,1
12384,29,2,585.27,6.373780434317173,1.0986122886681098,0
12386,338,2,401.9,5.998688392197302,1.0986122886681098,2
12388,16,6,2780.66,7.930803150780256,1.9459101490553132,1
12390,80,1,549.84,6.311444385858925,0.6931471805599453,0
12391,22,1,460.89,6.1353267674944725,0.6931471805599453,0
12393,72,4,1582.6000000000001,7.3674560152319755,1.6094379124341003,1
12394,64,2,1272.48,7.149508589545504,1.0986122886681098,0
12395,19,12,3018.63,8.012889586306857,2.5649493574615367,1
12397,36,2,2409.9,7.7877554007552545,1.0986122886681098,0
12398,46,1,1635.6599999999999,7.4004128587924045,0.6931471805599453,0
12399,119,4,1108.65,7.011799929268738,1.6094379124341003,0
12401,303,1,84.3,4.446174454497633,0.6931471805599453,2
12402,323,1,225.6,5.423186348593906,0.6931471805599453,2
12403,50,1,427.7,6.0607573736039315,0.6931471805599453,0
12405,149,1,1710.39,7.445061184797548,0.6931471805599453,0
12406,22,2,3415.3,8.136313373066384,1.0986122886681098,1
12407,50,5,1708.1200000000001,7.4437338971514055,1.791759469228055,1
12408,33,5,2888.55,7.968856059639959,1.791759469228055,1
